rownames,YEAR,co2,site,NPP,NUP
NA.47,2005.0,NBC,NDFF,,
NA.48,2006.0,NBC,NDFF,,
NA.49,2006.0,NBC,NDFF,,
NA.50,2006.0,NBC,NDFF,,
NA.51,2006.0,NBC,NDFF,,
NA.52,2006.0,NBC,NDFF,,
NA.53,2006.0,NBC,NDFF,,
NA.54,1998.0,ELE,NDFF,,
NA.55,1998.0,ELE,NDFF,,
NA.56,1998.0,ELE,NDFF,,
NA.57,1998.0,ELE,NDFF,,
NA.58,1998.0,ELE,NDFF,,
NA.59,1998.0,ELE,NDFF,,
NA.60,1999.0,ELE,NDFF,,
NA.61,1999.0,ELE,NDFF,,
NA.62,1999.0,ELE,NDFF,,
NA.63,1999.0,ELE,NDFF,,
NA.64,1999.0,ELE,NDFF,,
NA.65,1999.0,ELE,NDFF,,
NA.66,2000.0,ELE,NDFF,,
NA.67,2000.0,ELE,NDFF,,
NA.68,2000.0,ELE,NDFF,,
NA.69,2000.0,ELE,NDFF,,
NA.70,2000.0,ELE,NDFF,,
NA.71,2000.0,ELE,NDFF,,
NA.72,2001.0,ELE,NDFF,,
NA.73,2001.0,ELE,NDFF,,
NA.74,2001.0,ELE,NDFF,,
NA.75,2001.0,ELE,NDFF,,
NA.76,2001.0,ELE,NDFF,,
NA.77,2001.0,ELE,NDFF,,
NA.78,2002.0,ELE,NDFF,,
NA.79,2002.0,ELE,NDFF,,
NA.80,2002.0,ELE,NDFF,,
NA.81,2002.0,ELE,NDFF,,
NA.82,2002.0,ELE,NDFF,,
NA.83,2002.0,ELE,NDFF,,
NA.84,2003.0,ELE,NDFF,,
NA.85,2003.0,ELE,NDFF,,
NA.86,2003.0,ELE,NDFF,,
NA.87,2003.0,ELE,NDFF,,
NA.88,2003.0,ELE,NDFF,,
NA.89,2003.0,ELE,NDFF,,
NA.90,2004.0,ELE,NDFF,,
NA.91,2004.0,ELE,NDFF,,
NA.92,2004.0,ELE,NDFF,,
NA.93,2004.0,ELE,NDFF,,
NA.94,2004.0,ELE,NDFF,,
NA.95,2004.0,ELE,NDFF,,
NA.96,2005.0,ELE,NDFF,,
NA.97,2005.0,ELE,NDFF,,
NA.98,2005.0,ELE,NDFF,,
NA.99,2005.0,ELE,NDFF,,
NA.100,2005.0,ELE,NDFF,,
NA.101,2005.0,ELE,NDFF,,
NA.102,2006.0,ELE,NDFF,,
NA.103,2006.0,ELE,NDFF,,
NA.104,2006.0,ELE,NDFF,,
NA.105,2006.0,ELE,NDFF,,
NA.106,2006.0,ELE,NDFF,,
NA.107,2006.0,ELE,NDFF,,
110,2005.0,AMB,PHAC,,
210,2006.0,AMB,PHAC,,
310,2007.0,AMB,PHAC,,
410,2008.0,AMB,PHAC,,
55,2009.0,AMB,PHAC,,
61,2010.0,AMB,PHAC,,
71,2011.0,AMB,PHAC,,
81,2012.0,AMB,PHAC,,
91,2013.0,AMB,PHAC,,
101,2005.0,AMB,PHAC,,
111,2006.0,AMB,PHAC,,
121,2007.0,AMB,PHAC,,
131,2008.0,AMB,PHAC,,
141,2009.0,AMB,PHAC,,
151,2010.0,AMB,PHAC,,
161,2011.0,AMB,PHAC,,
171,2012.0,AMB,PHAC,,
181,2013.0,AMB,PHAC,,
191,2005.0,ELE,PHAC,,
201,2006.0,ELE,PHAC,,
211,2007.0,ELE,PHAC,,
221,2008.0,ELE,PHAC,,
231,2009.0,ELE,PHAC,,
241,2010.0,ELE,PHAC,,
251,2011.0,ELE,PHAC,,
261,2012.0,ELE,PHAC,,
271,2013.0,ELE,PHAC,,
281,2005.0,AMB,PHAC,,
291,2006.0,AMB,PHAC,,
301,2007.0,AMB,PHAC,,
311,2008.0,AMB,PHAC,,
321,2009.0,AMB,PHAC,,
331,2010.0,AMB,PHAC,,
341,2011.0,AMB,PHAC,,
351,2012.0,AMB,PHAC,,
361,2013.0,AMB,PHAC,,
371,2005.0,ELE,PHAC,,
381,2006.0,ELE,PHAC,,
391,2007.0,ELE,PHAC,,
401,2008.0,ELE,PHAC,,
411,2009.0,ELE,PHAC,,
421,2010.0,ELE,PHAC,,
431,2011.0,ELE,PHAC,,
441,2012.0,ELE,PHAC,,
451,2013.0,ELE,PHAC,,
461,2005.0,AMB,PHAC,,
471,2006.0,AMB,PHAC,,
481,2007.0,AMB,PHAC,,
491,2008.0,AMB,PHAC,,
501,2009.0,AMB,PHAC,,
511,2010.0,AMB,PHAC,,
521,2011.0,AMB,PHAC,,
531,2012.0,AMB,PHAC,,
541,2013.0,AMB,PHAC,,
