fates_allom_d2bl1,fates_maintresp_leaf_ryan1991_baserate,fates_maintresp_nonleaf_baserate,fates_cnp_store_ovrflw_frac,fates_cnp_vmax_nh4,fates_cnp_vmax_no3,fates_cnp_vmax_p
0.20434869739478906,1.8044068136272553e-05,1.8044068136272553e-05,2.0040080160320657,9.836354454798719e-10,9.836354454798719e-10,9.836354454798719e-11
0.20609218436873694,1.822440881763528e-05,1.822440881763528e-05,2.024048096192386,1.006381192397933e-09,1.006381192397933e-09,1.0063811923979331e-10
0.20783567134268482,1.8404749498998006e-05,1.8404749498998006e-05,2.0440881763527066,1.0296529156878686e-09,1.0296529156878686e-09,1.0296529156878686e-10
0.2095791583166327,1.8585090180360733e-05,1.8585090180360733e-05,2.064128256513027,1.0534627781133267e-09,1.0534627781133267e-09,1.0534627781133268e-10
0.2113226452905806,1.876543086172346e-05,1.876543086172346e-05,2.0841683366733474,1.0778232236916957e-09,1.0778232236916957e-09,1.0778232236916957e-10
0.21306613226452847,1.8945771543086187e-05,1.8945771543086187e-05,2.104208416833668,1.1027469841978454e-09,1.1027469841978454e-09,1.1027469841978454e-10
0.21480961923847636,1.9126112224448914e-05,1.9126112224448914e-05,2.1242484969939883,1.1282470858183015e-09,1.1282470858183015e-09,1.1282470858183015e-10
0.21655310621242424,1.930645290581164e-05,1.930645290581164e-05,2.1442885771543088,1.1543368559592538e-09,1.1543368559592538e-09,1.1543368559592538e-10
0.21829659318637212,1.9486793587174368e-05,1.9486793587174368e-05,2.164328657314629,1.1810299302120125e-09,1.1810299302120125e-09,1.1810299302120126e-10
0.22004008016032,1.9667134268537095e-05,1.9667134268537095e-05,2.1843687374749496,1.2083402594795315e-09,1.2083402594795315e-09,1.2083402594795315e-10
0.2217835671342679,1.984747494989982e-05,1.984747494989982e-05,2.20440881763527,1.2362821172677301e-09,1.2362821172677301e-09,1.23628211726773e-10
0.22352705410821577,2.002781563126255e-05,2.002781563126255e-05,2.2244488977955905,1.2648701071454006e-09,1.2648701071454006e-09,1.2648701071454006e-10
0.22527054108216366,2.0208156312625275e-05,2.0208156312625275e-05,2.244488977955911,1.2941191703766615e-09,1.2941191703766615e-09,1.2941191703766614e-10
0.22701402805611154,2.0388496993988002e-05,2.0388496993988002e-05,2.2645290581162314,1.3240445937298617e-09,1.3240445937298617e-09,1.3240445937298618e-10
0.22875751503005942,2.056883767535073e-05,2.056883767535073e-05,2.284569138276552,1.354662017467082e-09,1.354662017467082e-09,1.3546620174670821e-10
0.2305010020040073,2.0749178356713456e-05,2.0749178356713456e-05,2.3046092184368723,1.385987443518386e-09,1.385987443518386e-09,1.385987443518386e-10
0.2322444889779552,2.0929519038076183e-05,2.0929519038076183e-05,2.3246492985971927,1.418037243845071e-09,1.418037243845071e-09,1.418037243845071e-10
0.23398797595190307,2.110985971943891e-05,2.110985971943891e-05,2.344689378757513,1.4508281689963598e-09,1.4508281689963598e-09,1.4508281689963597e-10
0.23573146292585095,2.1290200400801637e-05,2.1290200400801637e-05,2.3647294589178336,1.4843773568639093e-09,1.4843773568639093e-09,1.4843773568639093e-10
0.23747494989979884,2.1470541082164364e-05,2.1470541082164364e-05,2.384769539078154,1.5187023416387875e-09,1.5187023416387875e-09,1.5187023416387876e-10
0.23921843687374672,2.165088176352709e-05,2.165088176352709e-05,2.4048096192384745,1.5538210629755687e-09,1.5538210629755687e-09,1.5538210629755687e-10
0.2409619238476946,2.1831222444889817e-05,2.1831222444889817e-05,2.424849699398795,1.5897518753683175e-09,1.5897518753683175e-09,1.5897518753683174e-10
0.2427054108216425,2.2011563126252544e-05,2.2011563126252544e-05,2.4448897795591154,1.6265135577434376e-09,1.6265135577434376e-09,1.6265135577434377e-10
0.24444889779559037,2.219190380761527e-05,2.219190380761527e-05,2.464929859719436,1.6641253232742929e-09,1.6641253232742929e-09,1.664125323274293e-10
0.24619238476953825,2.2372244488977998e-05,2.2372244488977998e-05,2.4849699398797562,1.7026068294228109e-09,1.7026068294228109e-09,1.702606829422811e-10
0.24793587174348614,2.2552585170340725e-05,2.2552585170340725e-05,2.5050100200400767,1.741978188213289e-09,1.741978188213289e-09,1.741978188213289e-10
0.24967935871743402,2.2732925851703452e-05,2.2732925851703452e-05,2.525050100200397,1.7822599767437462e-09,1.7822599767437462e-09,1.782259976743746e-10
0.2514228456913819,2.291326653306618e-05,2.291326653306618e-05,2.5450901803607175,1.8234732479403994e-09,1.8234732479403994e-09,1.8234732479403993e-10
0.2531663326653298,2.3093607214428906e-05,2.3093607214428906e-05,2.565130260521038,1.865639541560769e-09,1.865639541560769e-09,1.8656395415607688e-10
0.25490981963927767,2.3273947895791633e-05,2.3273947895791633e-05,2.5851703406813584,1.908780895451251e-09,1.908780895451251e-09,1.908780895451251e-10
0.25665330661322555,2.345428857715436e-05,2.345428857715436e-05,2.605210420841679,1.9529198570650123e-09,1.9529198570650123e-09,1.9529198570650122e-10
0.25839679358717343,2.3634629258517086e-05,2.3634629258517086e-05,2.6252505010019993,1.9980794952461943e-09,1.9980794952461943e-09,1.9980794952461943e-10
0.2601402805611213,2.3814969939879813e-05,2.3814969939879813e-05,2.6452905811623197,2.044283412286684e-09,2.044283412286684e-09,2.0442834122866842e-10
0.2618837675350692,2.399531062124254e-05,2.399531062124254e-05,2.66533066132264,2.09155575626162e-09,2.09155575626162e-09,2.09155575626162e-10
0.2636272545090171,2.4175651302605267e-05,2.4175651302605267e-05,2.6853707414829606,2.1399212336501777e-09,2.1399212336501777e-09,2.1399212336501776e-10
0.26537074148296497,2.4355991983967994e-05,2.4355991983967994e-05,2.705410821643281,2.1894051222482004e-09,2.1894051222482004e-09,2.1894051222482005e-10
0.26711422845691285,2.453633266533072e-05,2.453633266533072e-05,2.7254509018036015,2.240033284379423e-09,2.240033284379423e-09,2.2400332843794228e-10
0.26885771543086073,2.4716673346693448e-05,2.4716673346693448e-05,2.745490981963922,2.2918321804121607e-09,2.2918321804121607e-09,2.2918321804121607e-10
0.2706012024048086,2.4897014028056175e-05,2.4897014028056175e-05,2.7655310621242424,2.3448288825886378e-09,2.3448288825886378e-09,2.3448288825886376e-10
0.2723446893787565,2.50773547094189e-05,2.50773547094189e-05,2.785571142284563,2.3990510891740275e-09,2.3990510891740275e-09,2.3990510891740275e-10
0.2740881763527044,2.525769539078163e-05,2.525769539078163e-05,2.8056112224448833,2.4545271389327164e-09,2.4545271389327164e-09,2.4545271389327164e-10
0.27583166332665227,2.5438036072144355e-05,2.5438036072144355e-05,2.8256513026052037,2.5112860259393226e-09,2.5112860259393226e-09,2.5112860259393227e-10
0.27757515030060015,2.5618376753507082e-05,2.5618376753507082e-05,2.845691382765524,2.569357414732162e-09,2.569357414732162e-09,2.569357414732162e-10
0.27931863727454803,2.579871743486981e-05,2.579871743486981e-05,2.8657314629258446,2.628771655817212e-09,2.628771655817212e-09,2.628771655817212e-10
0.2810621242484959,2.5979058116232536e-05,2.5979058116232536e-05,2.885771543086165,2.6895598015305057e-09,2.6895598015305057e-09,2.689559801530506e-10
0.2828056112224438,2.6159398797595263e-05,2.6159398797595263e-05,2.9058116232464855,2.751753622267373e-09,2.751753622267373e-09,2.751753622267373e-10
0.2845490981963917,2.633973947895799e-05,2.633973947895799e-05,2.925851703406806,2.8153856230869715e-09,2.8153856230869715e-09,2.8153856230869716e-10
0.28629258517033956,2.6520080160320717e-05,2.6520080160320717e-05,2.9458917835671263,2.880489060700734e-09,2.880489060700734e-09,2.880489060700734e-10
0.28803607214428745,2.6700420841683444e-05,2.6700420841683444e-05,2.9659318637274468,2.9470979608537566e-09,2.9470979608537566e-09,2.9470979608537566e-10
0.28977955911823533,2.688076152304617e-05,2.688076152304617e-05,2.985971943887767,3.0152471361080205e-09,3.0152471361080205e-09,3.0152471361080204e-10
0.2915230460921832,2.7061102204408897e-05,2.7061102204408897e-05,3.0060120240480876,3.084972204036884e-09,3.084972204036884e-09,3.084972204036884e-10
0.2932665330661311,2.7241442885771624e-05,2.7241442885771624e-05,3.026052104208408,3.1563096058403076e-09,3.1563096058403076e-09,3.156309605840308e-10
0.295010020040079,2.742178356713435e-05,2.742178356713435e-05,3.0460921843687285,3.229296625390487e-09,3.229296625390487e-09,3.229296625390487e-10
0.29675350701402686,2.7602124248497078e-05,2.7602124248497078e-05,3.066132264529049,3.30397140871801e-09,3.30397140871801e-09,3.30397140871801e-10
0.29849699398797475,2.7782464929859805e-05,2.7782464929859805e-05,3.0861723446893694,3.380372983948503e-09,3.380372983948503e-09,3.380372983948503e-10
